Date,Time,Team,Opponent,Home,GoalsFor,GoalsAgainst,Outcome,GF_Roll_5,GA_Roll_5
2024-08-09,20:00,Sheffield United,Preston,N,2,0,W,,
2024-08-17,15:00,Sheffield United,QPR,Y,2,2,D,,
2024-08-24,15:00,Sheffield United,Norwich,N,1,1,D,,
2024-09-01,15:00,Sheffield United,Watford,Y,1,0,W,,
2024-09-13,20:00,Sheffield United,Hull,N,2,0,W,1.6,0.6
2024-09-21,15:00,Sheffield United,Derby,Y,1,0,W,1.4,0.6
2024-09-28,15:00,Sheffield United,Portsmouth,N,0,0,D,1.0,0.2
2024-10-02,19:45,Sheffield United,Swansea,Y,1,0,W,1.0,0.0
2024-10-05,15:00,Sheffield United,Luton,Y,2,0,W,1.2,0.0
2024-10-18,20:00,Sheffield United,Leeds,N,0,2,L,0.8,0.4
2024-10-23,20:00,Sheffield United,Middlesbrough,N,0,1,L,0.6,0.6
2024-10-26,15:00,Sheffield United,Stoke,Y,2,0,W,1.0,0.6
2024-11-02,12:30,Sheffield United,Blackburn,N,2,0,W,1.2,0.6
2024-11-05,19:45,Sheffield United,Bristol City,N,2,1,W,1.2,0.8
2024-11-10,12:30,Sheffield United,Sheffield Weds,Y,1,0,W,1.4,0.4
2024-11-23,12:30,Sheffield United,Coventry,N,2,2,D,1.8,0.6
2024-11-26,19:45,Sheffield United,Oxford,Y,3,0,W,2.0,0.6
2024-11-29,20:00,Sheffield United,Sunderland,Y,1,0,W,1.8,0.6
2024-12-08,15:00,Sheffield United,West Brom,N,2,2,D,1.8,0.8
2024-12-11,19:45,Sheffield United,Millwall,N,1,0,W,1.8,0.8
2024-12-14,15:00,Sheffield United,Plymouth,Y,2,0,W,1.8,0.4
2024-12-21,15:00,Sheffield United,Cardiff,N,2,0,W,1.6,0.4
2024-12-26,15:00,Sheffield United,Burnley,Y,0,2,L,1.4,0.8
2024-12-29,12:30,Sheffield United,West Brom,Y,1,1,D,1.2,0.6
2025-01-01,20:00,Sheffield United,Sunderland,N,1,2,L,1.2,1.0
2025-01-04,15:00,Sheffield United,Watford,N,2,1,W,1.2,1.2
2025-01-18,15:00,Sheffield United,Norwich,Y,2,0,W,1.2,1.2
2025-01-21,19:45,Sheffield United,Swansea,N,2,1,W,1.6,1.0
2025-01-24,20:00,Sheffield United,Hull,Y,0,3,L,1.4,1.4
2025-02-01,15:00,Sheffield United,Derby,N,1,0,W,1.4,1.0
2025-02-08,15:00,Sheffield United,Portsmouth,Y,2,1,W,1.4,1.0
2025-02-12,20:00,Sheffield United,Middlesbrough,Y,3,1,W,1.6,1.2
2025-02-15,15:00,Sheffield United,Luton,N,1,0,W,1.4,1.0
2025-02-24,20:00,Sheffield United,Leeds,Y,1,3,L,1.6,1.0
2025-03-01,15:00,Sheffield United,QPR,N,2,1,W,1.8,1.2
2025-03-08,15:00,Sheffield United,Preston,Y,1,0,W,1.6,1.0
2025-03-11,20:00,Sheffield United,Bristol City,Y,1,1,D,1.2,1.0
2025-03-16,12:30,Sheffield United,Sheffield Weds,N,1,0,W,1.2,1.0
2025-03-28,20:00,Sheffield United,Coventry,Y,3,1,W,1.6,0.6
2025-04-05,15:00,Sheffield United,Oxford,N,0,1,L,1.2,0.6
2025-04-08,19:45,Sheffield United,Millwall,Y,0,1,L,1.0,0.8
2025-04-12,12:30,Sheffield United,Plymouth,N,1,2,L,1.0,1.0
2025-04-18,17:30,Sheffield United,Cardiff,Y,2,0,W,1.2,1.0
2025-04-21,17:30,Sheffield United,Burnley,N,1,2,L,0.8,1.2
2025-04-25,20:00,Sheffield United,Stoke,N,2,0,W,1.2,1.0
2025-05-03,12:30,Sheffield United,Blackburn,Y,1,1,D,1.4,1.0
2024-08-10,12:30,Sunderland,Cardiff,N,2,0,W,,
2024-08-18,12:00,Sunderland,Sheffield Weds,Y,4,0,W,,
2024-08-24,15:00,Sunderland,Burnley,Y,1,0,W,,
2024-08-31,15:00,Sunderland,Portsmouth,N,3,1,W,,
2024-09-14,15:00,Sunderland,Plymouth,N,2,3,L,2.4,0.8
2024-09-21,12:30,Sunderland,Middlesbrough,Y,1,0,W,2.2,0.8
2024-09-28,15:00,Sunderland,Watford,N,1,2,L,1.6,1.2
2024-10-01,19:45,Sunderland,Derby,Y,2,0,W,1.8,1.2
2024-10-04,20:00,Sunderland,Leeds,Y,2,2,D,1.6,1.4
2024-10-20,15:00,Sunderland,Hull,N,1,0,W,1.4,0.8
2024-10-23,19:45,Sunderland,luton,N,2,1,W,1.6,1.0
2024-10-26,15:00,Sunderland,Oxford,Y,2,0,W,1.8,0.6
2024-11-02,15:00,Sunderland,QPR,N,0,0,D,1.4,0.6
2024-11-06,20:00,Sunderland,Preston,N,0,0,D,1.0,0.2
2024-11-09,15:00,Sunderland,Coventry,Y,2,2,D,1.2,0.6
2024-11-23,15:00,Sunderland,Millwall,N,1,1,D,1.0,0.6
2024-11-26,20:00,Sunderland,West Brom,Y,0,0,D,0.6,0.6
2024-11-29,20:00,Sunderland,Sheffield United,N,0,1,L,0.6,0.8
2024-12-07,12:30,Sunderland,Stoke,Y,2,1,W,1.0,1.0
2024-12-10,19:45,Sunderland,Bristol City,Y,1,1,D,0.8,0.8
2024-12-14,15:00,Sunderland,Swansea,N,3,2,W,1.2,1.0
2024-12-21,15:00,Sunderland,Norwich,Y,2,1,W,1.6,1.2
2024-12-26,15:00,Sunderland,Blackburn,N,2,2,D,2.0,1.4
2024-12-29,15:00,Sunderland,Stoke,N,0,1,L,1.6,1.4
2025-01-01,20:00,Sunderland,Sheffield United,Y,2,1,W,1.8,1.4
2025-01-05,15:00,Sunderland,Portsmouth,Y,1,0,W,1.4,1.0
2025-01-17,20:00,Sunderland,Burnley,N,0,0,D,1.0,0.8
2025-01-21,19:45,Sunderland,Derby,N,1,0,W,0.8,0.4
2025-01-25,15:00,Sunderland,Plymouth,Y,2,2,D,1.2,0.6
2025-02-03,20:00,Sunderland,Middlesbrough,N,3,2,W,1.4,0.8
2025-02-08,12:30,Sunderland,Watford,Y,2,2,D,1.6,1.2
2025-02-12,19:45,Sunderland,Luton,Y,2,0,W,2.0,1.2
2025-02-17,20:00,Sunderland,Leeds,N,1,2,L,2.0,1.6
2025-02-22,12:30,Sunderland,Hull,Y,0,1,L,1.6,1.4
2025-02-28,20:00,Sunderland,Sheffield Weds,N,2,1,W,1.4,1.2
2025-03-08,15:00,Sunderland,Cardiff,Y,2,1,W,1.4,1.0
2025-03-11,19:45,Sunderland,Preston,Y,1,1,D,1.2,1.2
2025-03-15,15:00,Sunderland,Coventry,N,0,3,L,1.0,1.4
2025-03-29,15:00,Sunderland,Millwall,Y,1,0,W,1.2,1.2
2025-04-05,12:30,Sunderland,West Brom,N,1,0,W,1.0,1.0
2025-04-08,19:45,Sunderland,Norwich,N,0,0,D,0.6,0.8
2025-04-12,15:00,Sunderland,Swansea,Y,0,1,L,0.4,0.8
2025-04-18,15:00,Sunderland,Bristol City,N,1,2,L,0.6,0.6
2025-04-21,15:00,Sunderland,Blackburn,Y,0,1,L,0.4,0.8
